independent,dependent,spearman_r,spearman_p,linear_r2,linear_p,n
num_characters,valence,-0.08824560580040393,0.3504872503156703,0.007544917912403453,0.35812463095788305,114
num_settings,valence,-0.09739611332667292,0.3025882723720912,0.016473197867786775,0.17354067635302295,114
num_characters,consistency,-0.07601817336886506,0.4214713810018349,0.0027044465516732437,0.5826577600729033,114
num_settings,consistency,-0.16020797507261494,0.08862076982911235,0.014462371031413412,0.20248576767676082,114
num_characters,retelling_depth,-0.13328580113100716,0.15743953234482339,0.01500172021487014,0.19420954630026646,114
num_settings,retelling_depth,-0.21698660418544896,0.02039766734347114,0.023375713081424256,0.10437500795448133,114
